date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:39	73323/73323	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2009:52:38%20GMT	https://fitnesso.webflow.io/	C:/My%20Web%20Sites/law/fitnesso.webflow.io/index.html	(from )
15:22:39	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2012%20Aug%202023%2009:52:38%20GMT	https://fitnesso.webflow.io/robots.txt		(from )
15:22:41	174926/174926	---M-Z	200	added ('OK')	text/css	etag:%220b9d3d6e942b32090488159b6b5ff96b%22	https://assets.website-files.com/5e80894f63c557e083ed96b4/css/fitnesso.934c84ac5.css	C:/My%20Web%20Sites/law/assets.website-files.com/5e80894f63c557e083ed96b4/css/fitnesso.934c84ac5.css	(from https://fitnesso.webflow.io/)
15:22:42	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/law/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://fitnesso.webflow.io/)
15:22:42	785/785	---M--	200	added ('OK')	image/png	etag:%223cef19625e79ff74ca8a9d5ff35a5020%22	https://assets.website-files.com/5e80894f63c557e083ed96b4/5e848c97428d2ea1e93180b0_Favcon.png	C:/My%20Web%20Sites/law/assets.website-files.com/5e80894f63c557e083ed96b4/5e848c97428d2ea1e93180b0_Favcon.png	(from https://fitnesso.webflow.io/)
15:22:43	3992/3992	---M--	200	added ('OK')	image/png	etag:%22954a3b4e327a4a38aef43e558c564976%22	https://assets.website-files.com/5e80894f63c557e083ed96b4/5e848c993fb6cf1526f47300_Webclip.png	C:/My%20Web%20Sites/law/assets.website-files.com/5e80894f63c557e083ed96b4/5e848c993fb6cf1526f47300_Webclip.png	(from https://fitnesso.webflow.io/)
15:22:44	46476/46476	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2009:52:43%20GMT	https://fitnesso.webflow.io/free-workouts	C:/My%20Web%20Sites/law/fitnesso.webflow.io/free-workouts.html	(from https://fitnesso.webflow.io/)
15:22:44	48388/48388	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2009:52:43%20GMT	https://fitnesso.webflow.io/about	C:/My%20Web%20Sites/law/fitnesso.webflow.io/about.html	(from https://fitnesso.webflow.io/)
15:22:44	48661/48661	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2009:52:44%20GMT	https://fitnesso.webflow.io/shop	C:/My%20Web%20Sites/law/fitnesso.webflow.io/shop.html	(from https://fitnesso.webflow.io/)
15:22:44	29352/29352	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2009:52:44%20GMT	https://fitnesso.webflow.io/contact	C:/My%20Web%20Sites/law/fitnesso.webflow.io/contact.html	(from https://fitnesso.webflow.io/)
15:22:45	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2012%20Aug%202023%2009:52:44%20GMT	https://fitnesso.webflow.io/checkout	C:/My%20Web%20Sites/law/fitnesso.webflow.io/checkout	(from https://fitnesso.webflow.io/)
